id,review,rating,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17
0,价格有点贵，但质量确实不错,4,-2,0,0,1,-2,-2,0,-1,0,0,0,0,1,-2,1,1,1,0
1,餐厅环境很好，菜品很有特色,5,-1,1,1,-1,-1,-1,1,1,-2,-2,1,-1,-1,-2,1,-2,-2,0
2,导游讲解很专业，学到了很多知识,2,1,1,1,1,0,-1,-1,0,-1,0,1,0,1,1,-2,0,-2,0
3,价格有点贵，但质量确实不错,5,-2,0,-1,1,-2,1,-1,-1,-1,-2,-1,-2,-1,1,1,0,1,0
4,性价比很高，下次还会再来,5,1,0,0,-1,-2,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-2,0
5,住宿条件一般，但服务态度不错,2,1,-1,-1,-1,1,-1,0,1,0,1,-1,0,1,-2,-1,1,-2,1
6,交通不太方便，建议自驾出行,2,0,-2,1,-1,-2,1,1,1,-2,-2,-2,0,-2,-2,-2,0,-2,1
7,这个景点风景很美，非常值得一去！,4,1,1,0,0,0,-2,1,0,0,-2,0,-2,-1,0,-1,-2,1,0
8,这个景点风景很美，非常值得一去！,4,-1,-2,1,0,0,-1,1,-2,0,1,1,-1,0,0,-2,0,-2,0
9,餐厅环境很好，菜品很有特色,3,-2,-2,-1,0,0,-1,0,0,-2,0,0,-1,-1,1,-2,0,0,1
10,价格有点贵，但质量确实不错,1,1,-2,1,1,-1,-2,0,0,-2,0,0,-2,1,-2,1,0,0,0
11,餐厅环境很好，菜品很有特色,4,-1,-1,-2,-1,-2,-2,-1,1,1,1,1,1,-1,-1,0,1,-1,0
12,性价比很高，下次还会再来,1,0,-1,-2,-2,-2,0,-1,-2,1,-2,-2,0,0,-1,1,0,-2,-1
13,交通不太方便，建议自驾出行,1,0,-1,1,1,0,0,-1,1,1,1,-2,1,-2,-1,-2,-1,1,1
14,餐厅环境很好，菜品很有特色,2,0,-2,-2,-2,1,-2,0,-2,-1,-1,1,-1,0,-2,1,-2,-2,0
15,餐厅环境很好，菜品很有特色,2,-2,1,-1,1,-1,1,0,1,0,0,1,0,-2,0,-1,1,-2,1
16,住宿条件一般，但服务态度不错,3,0,1,1,-2,-2,1,0,-1,1,-2,0,1,1,0,1,0,-1,0
17,价格有点贵，但质量确实不错,3,1,1,0,1,-2,-2,1,1,0,-1,1,-2,0,1,-2,-2,-1,0
18,价格有点贵，但质量确实不错,2,0,0,1,1,-1,1,-2,1,1,-2,-1,-2,1,-1,1,-2,-2,1
19,导游讲解很专业，学到了很多知识,1,-2,0,0,1,1,0,1,1,-1,1,-2,1,1,0,-2,1,1,-1
20,酒店很干净，设施也很齐全,4,-1,0,1,-1,-2,0,-2,-2,-1,1,-1,-1,-1,-1,0,1,-2,-2
21,性价比很高，下次还会再来,1,1,-2,-1,-2,1,1,1,1,1,0,0,-2,1,-2,1,1,0,0
22,餐厅环境很好，菜品很有特色,5,0,-1,1,0,0,-1,-2,-1,-2,1,0,1,-2,-2,1,-2,1,0
23,性价比很高，下次还会再来,3,1,-2,1,-2,1,1,-1,-2,-1,-2,-1,0,1,-2,-2,1,-2,-2
24,餐厅环境很好，菜品很有特色,5,0,0,1,-2,1,0,-2,-2,1,0,-2,1,0,1,-1,-2,-1,0
25,餐厅环境很好，菜品很有特色,2,0,1,-1,1,-1,1,0,-1,0,-1,0,0,-1,-1,-1,-2,1,-2
26,这个景点风景很美，非常值得一去！,3,-1,1,0,-2,-1,0,-1,0,-1,-2,1,-2,1,-1,0,-2,1,-2
27,性价比很高，下次还会再来,1,1,1,-1,1,-1,1,0,0,0,1,-1,-1,1,0,0,-1,0,-2
28,住宿条件一般，但服务态度不错,5,-1,-1,-1,-1,-2,1,-1,-1,0,-1,0,1,-2,-2,1,-2,1,1
29,性价比很高，下次还会再来,5,0,1,-1,-2,1,1,-1,0,0,0,1,1,1,-2,-1,1,-1,-1
30,导游讲解很专业，学到了很多知识,1,1,0,0,1,-1,0,-1,-2,-1,-2,-1,0,0,-2,1,-2,-2,-1
31,住宿条件一般，但服务态度不错,1,0,-1,1,-1,-1,1,-2,1,-2,-2,-2,1,-2,0,1,0,-2,-1
32,交通不太方便，建议自驾出行,3,1,-1,1,0,-2,-1,-2,-2,-1,1,-2,0,-2,-1,-1,-1,1,-2
33,性价比很高，下次还会再来,2,-1,1,-2,0,1,-2,-1,-1,-2,0,-1,-1,-1,-2,1,-1,1,0
34,住宿条件一般，但服务态度不错,2,0,-1,1,-2,1,-2,-2,1,1,1,1,0,-1,-2,1,1,1,0
